Interval start,prague-throughput,cubic-throughput,,
0,1.26E+06,1.26E+06,,
1,1.32E+06,1.32E+06,,
2,1.28E+06,1.28E+06,,
3,1.27E+06,1.27E+06,,
4,1.31E+06,1.31E+06,,
5,1.34E+06,1.33E+06,,
6,1.32E+06,1.32E+06,,
7,1.29E+06,1.29E+06,,
8,1.30E+06,1.30E+06,,
9,1.31E+06,1.31E+06,,
10,1.34E+06,1.34E+06,,
11,1.35E+06,1.36E+06,,
12,1.37E+06,1.37E+06,,
13,1.37E+06,1.37E+06,,
14,1.32E+06,1.31E+06,,
15,1.35E+06,1.36E+06,,
16,1.35E+06,1.35E+06,,
17,1.31E+06,1.31E+06,,
18,1.34E+06,1.34E+06,,
19,1.35E+06,1.35E+06,,
20,1.34E+06,1.34E+06,,
21,1.38E+06,1.38E+06,,
22,1.31E+06,1.30E+06,,
23,1.31E+06,1.31E+06,,
24,1.36E+06,1.36E+06,,
25,1.32E+06,1.32E+06,,
26,1.32E+06,1.32E+06,,
27,1.34E+06,1.34E+06,,
28,1.24E+06,1.24E+06,,
29,1.36E+06,1.36E+06,,
30,1.34E+06,1.34E+06,,
31,1.30E+06,1.30E+06,,
32,1.24E+06,1.24E+06,,
33,1.28E+06,1.28E+06,,
34,1.25E+06,1.25E+06,,
35,1.36E+06,1.36E+06,,
36,1.38E+06,1.38E+06,,
37,1.35E+06,1.35E+06,,
38,1.36E+06,1.36E+06,,
39,1.34E+06,1.34E+06,,
40,1.29E+06,1.29E+06,,
41,1.32E+06,1.32E+06,,
42,1.33E+06,1.33E+06,,
43,1.33E+06,1.33E+06,,
44,1.34E+06,1.34E+06,,
45,1.32E+06,1.31E+06,,
46,1.34E+06,1.34E+06,,
47,1.19E+06,1.18E+06,,
48,1.35E+06,1.35E+06,,
49,1.31E+06,1.31E+06,,
50,1.35E+06,1.35E+06,,
51,1.28E+06,1.29E+06,,
52,1.35E+06,1.35E+06,,
53,1.35E+06,1.36E+06,,
54,1.35E+06,1.35E+06,,
55,1.35E+06,1.35E+06,,
56,1.35E+06,1.35E+06,,
57,1.29E+06,1.29E+06,,
58,1.31E+06,1.31E+06,,
59,1.34E+06,1.34E+06,,
60,1.29E+06,1.29E+06,,
61,1.31E+06,1.31E+06,,
62,1.29E+06,1.29E+06,,
63,1.24E+06,1.24E+06,,
64,1.34E+06,1.34E+06,,
65,1.34E+06,1.33E+06,,
66,1.34E+06,1.34E+06,,
67,1.30E+06,1.30E+06,,
68,1.35E+06,1.34E+06,,
69,1.32E+06,1.32E+06,,
70,1.25E+06,1.26E+06,,
71,1.28E+06,1.29E+06,,
72,1.34E+06,1.34E+06,,
73,1.33E+06,1.33E+06,,
74,1.30E+06,1.30E+06,,
75,1.34E+06,1.34E+06,,
76,1.36E+06,1.36E+06,,
77,1.33E+06,1.33E+06,,
78,1.23E+06,1.23E+06,,
79,1.23E+06,1.24E+06,,
80,1.33E+06,1.34E+06,,
81,1.33E+06,1.33E+06,,
82,1.31E+06,1.31E+06,,
83,1.34E+06,1.33E+06,,
84,1.33E+06,1.33E+06,,
85,1.36E+06,1.36E+06,,
86,1.32E+06,1.32E+06,,
87,1.34E+06,1.35E+06,,
88,1.36E+06,1.35E+06,,
89,1.23E+06,1.23E+06,,
90,1.31E+06,1.31E+06,,
91,1.34E+06,1.34E+06,,
92,1.34E+06,1.34E+06,,
93,1.24E+06,1.24E+06,,
94,1.24E+06,1.24E+06,,
95,1.33E+06,1.33E+06,,
96,1.28E+06,1.29E+06,,
97,1.33E+06,1.33E+06,,
98,1.32E+06,1.32E+06,,
99,1.30E+06,1.30E+06,,
100,1.25E+06,1.24E+06,,
101,1.30E+06,1.30E+06,,
102,1.26E+06,1.27E+06,,
103,1.31E+06,1.31E+06,,
104,1.29E+06,1.30E+06,,
105,1.22E+06,1.22E+06,,
106,1.30E+06,1.30E+06,,
107,1.15E+06,1.15E+06,,
108,1.29E+06,1.29E+06,,
109,1.34E+06,1.34E+06,,
110,1.37E+06,1.36E+06,,
111,1.34E+06,1.34E+06,,
112,1.34E+06,1.34E+06,,
113,1.32E+06,1.32E+06,,
114,1.34E+06,1.33E+06,,
115,1.35E+06,1.36E+06,,
116,1.29E+06,1.29E+06,,
117,1.35E+06,1.35E+06,,
118,1.35E+06,1.35E+06,,
119,1.32E+06,1.32E+06,,
120,1.31E+06,1.31E+06,,
121,1.31E+06,1.32E+06,,
122,1.31E+06,1.31E+06,,
123,1.23E+06,1.24E+06,,
124,1.30E+06,1.30E+06,,
125,1.28E+06,1.28E+06,,
126,1.26E+06,1.26E+06,,
127,1.33E+06,1.33E+06,,
128,1.26E+06,1.26E+06,,
129,1.27E+06,1.26E+06,,
130,1.28E+06,1.28E+06,,
131,1.34E+06,1.35E+06,,
132,1.36E+06,1.36E+06,,
133,1.32E+06,1.32E+06,,
134,1.33E+06,1.33E+06,,
135,1.36E+06,1.35E+06,,
136,1.27E+06,1.27E+06,,
137,1.35E+06,1.35E+06,,
138,1.24E+06,1.25E+06,,
139,1.37E+06,1.36E+06,,
140,1.34E+06,1.34E+06,,
141,1.26E+06,1.25E+06,,
142,1.34E+06,1.34E+06,,
143,1.26E+06,1.26E+06,,
144,1.28E+06,1.27E+06,,
145,1.34E+06,1.34E+06,,
146,1.31E+06,1.31E+06,,
147,1.34E+06,1.34E+06,,
148,1.37E+06,1.37E+06,,
149,1.35E+06,1.34E+06,,
150,1.30E+06,1.31E+06,,
,1314071.523,1314311.325,,
,,,,
,,,,
,,,,
,,,,
